,lat,lon,analysed_spim,plume
894,49.19,-0.84,,False
895,49.19,-0.825,,False
896,49.19,-0.81,,False
897,49.19,-0.795,,False
898,49.19,-0.78,,False
899,49.19,-0.765,,False
900,49.19,-0.75,,False
901,49.19,-0.735,,False
902,49.19,-0.72,,False
903,49.19,-0.705,,False
904,49.19,-0.69,,False
905,49.19,-0.675,,False
906,49.19,-0.66,,False
907,49.19,-0.645,,False
908,49.19,-0.63,,False
909,49.19,-0.615,,False
910,49.19,-0.6,,False
911,49.19,-0.585,,False
912,49.19,-0.57,,False
913,49.19,-0.555,,False
914,49.19,-0.54,,False
915,49.19,-0.525,,False
916,49.19,-0.51,,False
917,49.19,-0.495,,False
918,49.19,-0.48,,False
919,49.19,-0.465,,False
920,49.19,-0.45,,False
921,49.19,-0.435,,False
922,49.19,-0.42,,False
923,49.19,-0.405,,False
924,49.19,-0.39,,False
925,49.19,-0.375,,False
926,49.19,-0.36,,False
927,49.19,-0.345,,False
928,49.19,-0.33,,False
929,49.19,-0.315,,False
930,49.19,-0.3,,False
931,49.19,-0.285,,False
932,49.19,-0.27,,False
933,49.19,-0.255,,False
934,49.19,-0.24,,False
935,49.19,-0.225,,False
936,49.19,-0.21,,False
937,49.19,-0.195,,False
938,49.19,-0.18,,False
939,49.19,-0.165,,False
940,49.19,-0.15,,False
941,49.19,-0.135,,False
942,49.19,-0.12,,False
943,49.19,-0.105,,False
944,49.19,-0.09,,False
945,49.19,-0.075,,False
946,49.19,-0.06,,False
947,49.19,-0.045,,False
948,49.19,-0.03,,False
949,49.19,-0.015,,False
950,49.19,0.0,,False
951,49.19,0.015,,False
952,49.19,0.03,,False
953,49.19,0.045,,False
954,49.19,0.06,,False
955,49.19,0.075,,False
956,49.19,0.09,,False
957,49.19,0.105,,False
958,49.19,0.12,,False
959,49.19,0.135,,False
960,49.19,0.15,,False
961,49.19,0.165,,False
962,49.19,0.18,,False
963,49.19,0.195,,False
964,49.19,0.21,,False
965,49.19,0.225,,False
966,49.19,0.24,,False
967,49.19,0.255,,False
968,49.19,0.27,,False
969,49.19,0.285,,False
970,49.19,0.3,,False
971,49.19,0.315,,False
972,49.19,0.33,,False
973,49.19,0.345,,False
974,49.19,0.36,,False
975,49.19,0.375,,False
976,49.19,0.39,,False
977,49.19,0.405,,False
978,49.19,0.42,,False
979,49.19,0.435,,False
980,49.19,0.45,,False
981,49.19,0.465,,False
982,49.19,0.48,,False
983,49.19,0.495,,False
984,49.19,0.51,,False
985,49.19,0.525,,False
986,49.19,0.54,,False
987,49.19,0.555,,False
988,49.19,0.57,,False
989,49.19,0.585,,False
990,49.19,0.6,,False
991,49.19,0.615,,False
992,49.19,0.63,,False
993,49.19,0.645,,False
994,49.19,0.66,,False
995,49.19,0.675,,False
996,49.19,0.69,,False
997,49.19,0.705,,False
998,49.19,0.72,,False
999,49.19,0.735,,False
1000,49.19,0.75,,False
1001,49.19,0.765,,False
1002,49.19,0.78,,False
1003,49.19,0.795,,False
1004,49.19,0.81,,False
1005,49.19,0.825,,False
1006,49.19,0.84,,False
1007,49.19,0.855,,False
1008,49.19,0.87,,False
1009,49.19,0.885,,False
1010,49.19,0.9,,False
1011,49.19,0.915,,False
1012,49.19,0.93,,False
1013,49.19,0.945,,False
1014,49.19,0.96,,False
1015,49.19,0.975,,False
1016,49.19,0.99,,False
1017,49.19,1.005,,False
1018,49.19,1.02,,False
1019,49.19,1.035,,False
1020,49.19,1.05,,False
1021,49.19,1.065,,False
1022,49.19,1.08,,False
1023,49.19,1.095,,False
1024,49.19,1.11,,False
1025,49.19,1.125,,False
1026,49.19,1.14,,False
1027,49.19,1.155,,False
1028,49.19,1.17,,False
1029,49.19,1.185,,False
