source,site,lon,lat,zone
REPHY,Grande Rade,-0.011339874,49.5212464351,BAY_OF_SEINE
REPHY,Ouistreham canal,-0.2756709313,49.2415691756,NA
REPHY,Luc 1 mille,-0.3291742868,49.3259041495,BAY_OF_SEINE
REPHY,Courseulles,-0.4618443566,49.3534033467,BAY_OF_SEINE
REPHY,Asnelles-Meuvaines,-0.5715131312,49.3504019897,BAY_OF_SEINE
REPHY,Pointe de la Percée,-0.9196666667,49.3906666667,BAY_OF_SEINE
REPHY,Port en Bessin 1 mille,-0.768517285,49.3588999194,BAY_OF_SEINE
REPHY,St Germain de Varreville,-1.2096952416,49.451730567,BAY_OF_SEINE
REPHY,Géfosse,-1.1073581894,49.3902301225,BAY_OF_SEINE
REPHY,St Vaast Sud,-1.2880331139,49.5593992028,BAY_OF_SEINE
REPHY,Reville 1 mille,-1.2170332054,49.6129014828,BAY_OF_SEINE
REPHY,Cap Lévi,-1.4562071654,49.704401124,BAY_OF_SEINE
REPHY,Le Tunard,-1.8265477309,49.7028966793,NA
REPHY,Gruchy,-1.7833799785,49.6943969646,NA
REPHY,Cherbourg Port,-1.6133763097,49.682565335,NA
REPHY,Donville,-1.6291867339,48.840709461,NA
REPHY,Hacqueville 1 mille,-1.5996856034,48.8198759298,NA
REPHY,Pors Even,-3.00358027,48.79892768,NA
REPHY,Moulin Blanc (a),-4.4295602242,48.3966646734,NA
REPHY,Filières Camaret,-4.5783931181,48.2826600115,NA
REPHY,Rostellec,-4.5273925142,48.293994246,NA
REPHY,Skividen,-4.2413738667,47.7883184866,SOUTHERN_BRITTANY
REPHY,Concarneau large,-3.949922,47.833406,SOUTHERN_BRITTANY
REPHY,Trénogoat,-3.64445721415,47.7861947755,SOUTHERN_BRITTANY
REPHY,Bailleron,-2.7471747009,47.5789976866,SOUTHERN_BRITTANY
REPHY,Poudrantais,-2.5013340223,47.4681644969,SOUTHERN_BRITTANY
REPHY,Pointe du But,-2.4001471204,46.7266477503,SOUTHERN_BRITTANY
REPHY,Port Joinville,-2.3481462364,46.7293150772,SOUTHERN_BRITTANY
REPHY,Anse du Piquet,-1.6496263509,46.4341493694,BAY_OF_BISCAY
REPHY,Jacquets,-1.1837458758,44.7192821954,BAY_OF_BISCAY
REPHY,Comprian (e),-1.099283,44.680217,BAY_OF_BISCAY
REPHY,Bif,1.5945957079,50.214967193,NA
REPHY,Fécamp digue,0.3634993899,49.765667432,BAY_OF_SEINE
REPHY,Fécamp 1 mille,0.3425004242,49.7730007236,BAY_OF_SEINE
REPHY,Estuaire de l'Orne,-0.2280326686,49.2795007433,BAY_OF_SEINE
REPHY,Baie de Seine - Zone 5,-0.2500094081,49.4499084056,BAY_OF_SEINE
REPHY,Hors Baie de Seine - Zone 8,-0.18584602370000003,49.616663665999994,BAY_OF_SEINE
REPHY,Hors Baie de Seine - Zone 9,0.0516576158,49.659417586000004,BAY_OF_SEINE
REPHY,Seine 1,0.02713430475,49.47412302435,BAY_OF_SEINE
REPHY,Baie de Seine - Zone 4,-0.5083488408,49.483322967199996,BAY_OF_SEINE
REPHY,Baie de Seine - Zone 3,-0.750020793,49.4999039252,BAY_OF_SEINE
REPHY,Utah,-1.1728336826,49.4216668616,BAY_OF_SEINE
REPHY,Morsalines,-1.2915,49.568,BAY_OF_SEINE
REPHY,La Hougue,-1.2805001139,49.57666809,BAY_OF_SEINE
REPHY,Gougins,-1.2430001592,49.4851677386,BAY_OF_SEINE
REPHY,Baie de Seine - Zone 1,-0.8583567465499999,49.5166531074,BAY_OF_SEINE
REPHY,Rade de Cherbourg,-1.6080422933,49.6620648454,NA
REPHY,Digue de Querqueville,-1.662568,49.672021,NA
REPHY,FLAM - Dielette,-1.91878,49.54697,NA
REPHY,Denneville,-1.6905001384,49.2883321977,NA
REPHY,Coudeville1 mille,-1.595167397,48.8896678072,NA
REPHY,Cherrueix 1,-1.691811,48.642014,NA
REPHY,Vieux plan Ouest,-1.7765173637,48.6342023629,NA
REPHY,Baie St Michel est 6,-1.6210160633,48.6973724898,NA
REPHY,Champeaux,-1.5958335548,48.7463323912,NA
REPHY,Cancale Est,-1.795166188,48.7015005548,NA
REPHY,Saint Michel,-1.551333848,48.6646674562,NA
REPHY,Mont St Michel 2007,-1.5078322152,48.6348321906,NA
REPHY,les Hébihens,-2.207224,48.643034,NA
REPHY,Saint-Quay,-2.790715,48.635213,NA
REPHY,Loguivy,-3.041866,48.828709,NA
REPHY,Roche Jagu aval confluent Leff - 22152E06,-3.14572,48.73359,NA
REPHY,Ledano-amont - 22152E07,-3.12114,48.76417,NA
REPHY,Les 7 Îles,-3.494027,48.870718,NA
REPHY,Trébeurden,-3.5826377666666667,48.7502978,NA
REPHY,St Pol large,-3.953362,48.700559,NA
REPHY,Estuaire (aval Pennelée) - MX12,-3.8589824092,48.6109186606,NA
REPHY,Chenal aval Locquenolé Dourduff - MX13,-3.8504644643,48.6307509356,NA
REPHY,Pont de la Corde - PZ05,-3.9506083373,48.6444084083,NA
REPHY,Aval Bourg - PZ01,-3.9349301386,48.5990691091,NA
REPHY,Argenton,-4.7708463746,48.519273615,NA
REPHY,Ouessant - cale de Porz Arlan,-5.049083,48.456178,NA
REPHY,Le Diouris - 29AW03,-4.4531854259,48.5707021132,NA
REPHY,Aval anse de Keradraon - 29AW09,-4.4947698183,48.581928559,NA
REPHY,Aval Moulin de l'Enfer - AW11,-4.5265590871,48.5950668386,NA
REPHY,Trémazan en Landunvez,-4.717099,48.558068,NA
REPHY,Pointe St Yves - 29EL14,-4.3461222878,48.4051442302,NA
REPHY,Aval la grande Palud - 29EL12,-4.2864837221,48.4360140629,NA
REPHY,Anse de Kerhuon - EL15,-4.3772110518,48.4004154016,NA
REPHY,Le Passage (d),-4.3810658983,48.3922501495,NA
REPHY,Lanvéoc large,-4.44852,48.309405,NA
REPHY,Aval Guily Glaz - 29AL33,-4.1071376223,48.2074904859,NA
REPHY,Aval confluence Douffine - 29AL36,-4.1218055622,48.2449179131,NA
REPHY,Pont de Terenez - 29AL38,-4.2623570695,48.2686284803,NA
REPHY,Kervel large,-4.298194,48.10991,NA
REPHY,Pont d'Audierne - 29GY05,-4.5348537097,48.0246274522,NA
REPHY,Face moulin marée - 29PA16,-4.2119837554,47.8671007763,SOUTHERN_BRITTANY
REPHY,Cale de Rosquemo - 29PA17,-4.1952131964,47.8573024024,SOUTHERN_BRITTANY
REPHY,Pouldon SE Ile Chevalier - PA20,-4.1742759501,47.8495407952,SOUTHERN_BRITTANY
REPHY,Aval port Corniguel - 29OD08,-4.0989160743,47.9681429602,SOUTHERN_BRITTANY
REPHY,Phare du Coq - 29OD16,-4.1168855863,47.8746621012,SOUTHERN_BRITTANY
REPHY,Face anse Kergourlet - 29AV04,-3.7476530702,47.8415656904,SOUTHERN_BRITTANY
REPHY,Moulin mer - 29BE08,-3.6394307796,47.8288583301,SOUTHERN_BRITTANY
REPHY,Estuaire amont Isle - 29BE26,-3.6996916205,47.8193457123,SOUTHERN_BRITTANY
